litv,#genre#
93 以愛為營,https://www.litv.tv/channel/watch/litv-vchannel93
94 豬哥壹級棒,https://www.litv.tv/channel/watch/litv-vchannel94
95 食尚玩家-熱血48小時,https://www.litv.tv/channel/watch/litv-vchannel95
96 一字千金(6~8季),https://www.litv.tv/channel/watch/litv-vchannel96
97 一字千金(1~5季),https://www.litv.tv/channel/watch/litv-vchannel97
98 我們這一家,https://www.litv.tv/channel/watch/litv-vchannel98
99 銀髮聚樂部,https://www.litv.tv/channel/watch/litv-vchannel99
100 蠟筆小新台,https://www.litv.tv/channel/watch/litv-vchannel100
101 南風知我意,https://www.litv.tv/channel/watch/litv-vchannel101
102 豬哥亮歌廳秀,https://www.litv.tv/channel/watch/4gtv-4gtv006
103 我們的翻譯官,https://www.litv.tv/channel/watch/litv-vchannel103
104 青囊傳,https://www.litv.tv/channel/watch/litv-vchannel104
105 流光之下,https://www.litv.tv/channel/watch/litv-vchannel105
106 愛的厘米,https://www.litv.tv/channel/watch/litv-vchannel106
107 粉紅色口紅,https://www.litv.tv/channel/watch/litv-vchannel107
108 19層,https://www.litv.tv/channel/watch/litv-vchannel108
109 金庸武俠台,https://www.litv.tv/channel/watch/litv-vchannel109
110 倚天屠龍記 2019,https://www.litv.tv/channel/watch/litv-vchannel110
111 紳士與小姐(國語配音),https://www.litv.tv/channel/watch/litv-vchannel111
112 對你不止是喜歡,https://www.litv.tv/channel/watch/litv-vchannel112
113 做自己的光,https://www.litv.tv/channel/watch/litv-vchannel113
114 村裡來了個暴走女外科,https://www.litv.tv/channel/watch/litv-vchannel114
115 秘密的男人(國語配音),https://www.litv.tv/channel/watch/litv-vchannel115
117 愛情來了(國語配音),https://www.litv.tv/channel/watch/litv-vchannel117
118 媽媽要出嫁(國語配音),https://www.litv.tv/channel/watch/litv-vchannel118
119 白夜童話(國語配音),https://www.litv.tv/channel/watch/litv-vchannel119
120 善德女王(國語配音),https://www.litv.tv/channel/watch/litv-vchannel120
121 天才衝衝衝,https://www.litv.tv/channel/watch/litv-vchannel121
123 食尚玩家-魚肉鄉民,https://www.litv.tv/channel/watch/litv-vchannel123
124 溢遊未盡,https://www.litv.tv/channel/watch/litv-vchannel124
125 看板人物,https://www.litv.tv/channel/watch/litv-vchannel125
126 食尚玩家-就要醬玩,https://www.litv.tv/channel/watch/litv-vchannel126
127 威廉沈歡樂送,https://www.litv.tv/channel/watch/litv-vchannel127
128 一步一腳印 發現新台灣,https://www.litv.tv/channel/watch/litv-vchannel128
129 食尚玩家-2天1夜go,https://www.litv.tv/channel/watch/litv-vchannel129
130 文茜的世界周報,https://www.litv.tv/channel/watch/litv-vchannel130
131 文茜的世界財經周報,https://www.litv.tv/channel/watch/litv-vchannel131
132 寰宇全視界,https://www.litv.tv/channel/watch/litv-vchannel132
133 頭條開講,https://www.litv.tv/channel/watch/litv-vchannel133
134 大新聞大爆卦,https://www.litv.tv/channel/watch/litv-vchannel134
135 新聞大白話,https://www.litv.tv/channel/watch/litv-vchannel135
