
港澳台一线,#genre#
ViuTV6,http://www.238311.cn:538/x1243y.php?id=viutv6
天映频道,http://www.238311.cn:538/x1243y.php?id=celestial
天映频道,mitv://generationnexxxt.com:19806/f7581adcfa1e4eaa88b4d1206f3abe61 
天映经典,http://www.238311.cn:538/x1243y.php?id=cccm
天映经典,mitv://generationnexxxt.com:19806/3ac31fa9f30145b68f8469b00d91b200 
Thrill,http://www.238311.cn:538/x1243y.php?id=thrill
香港卫视,http://www.238311.cn:538/x1243y.php?id=hks
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
澳亚卫视,http://www.238311.cn:538/x1243y.php?id=mastv
澳门卫视,http://www.238311.cn:538/x1243y.php?id=mstv
澳门莲花卫视,http://www.238311.cn:538/x1243y.php?id=lotustv
澳门资讯,http://www.238311.cn:538/x1243y.php?id=tdm-information
澳视澳门,http://www.238311.cn:538/x1243y.php?id=tdm
HKC 18台,http://www.238311.cn:538/x1243y.php?id=hkc18
港台电视 31,http://www.238311.cn:538/x1243y.php?id=rthk31
港台电视 32,http://www.238311.cn:538/x1243y.php?id=rthk32
Now 财经台,http://www.238311.cn:538/x1243y.php?id=now-finance
Now 爆谷台,http://www.238311.cn:538/x1243y.php?id=baogu-movies
Now 星影台,http://www.238311.cn:538/x1243y.php?id=now-baogu-superstars
Now 新闻台,http://www.238311.cn:538/x1243y.php?id=now-news
Now 直播台,http://www.238311.cn:538/x1243y.php?id=now-direct
Now报价台,http://www.238311.cn:538/x1243y.php?id=now-data
Now jelli紫金国际台,http://www.238311.cn:538/x1243y.php?id=now-jelli
Now华剧台,http://www.238311.cn:538/x1243y.php?id=now-chinese-drama
HBO Now115,http://www.238311.cn:538/x1243y.php?id=Now-HBO
Now HBO Hits,http://www.238311.cn:538/x1243y.php?id=now-hbo-hits
Now HBO Family,http://www.238311.cn:538/x1243y.php?id=now-hbof-amily
Now HBO Signature,http://www.238311.cn:538/x1243y.php?id=now-hbo-signature
MovieMovie,http://www.238311.cn:538/x1243y.php?id=moviemovie
NowViu剧集台,http://www.238311.cn:538/x1243y.php?id=now-viu-drama
Now Sports 641,http://www.238311.cn:538/x1243y.php?id=now-sports641
Now NBA,http://www.238311.cn:538/x1243y.php?id=now-nba
Now Sports精选,http://www.238311.cn:538/x1243y.php?id=now-sports-prime
Now Sports 1,http://www.238311.cn:538/x1243y.php?id=now-sports-1
Now Sports 2,http://www.238311.cn:538/x1243y.php?id=now-sports-2
Now Sports 3,http://www.238311.cn:538/x1243y.php?id=now-sports-3
Now Sports 4,http://www.238311.cn:538/x1243y.php?id=now-sports-4
Now Sports 5,http://www.238311.cn:538/x1243y.php?id=now-sports-5
Now Sports 6,http://www.238311.cn:538/x1243y.php?id=now-sports-6
Now Sports 7,http://www.238311.cn:538/x1243y.php?id=now-sports-7
Now Sports Plus,http://www.238311.cn:538/x1243y.php?id=now-sports-plus
Now Sports 英超1,http://www.238311.cn:538/x1243y.php?id=now-sports-premier-league1
Now Sports 英超2,http://www.238311.cn:538/x1243y.php?id=now-sports-premier-league2


Now Sports 英超3,http://www.238311.cn:538/x1243y.php?id=now-sports-premier-league3
Now Sports 英超4,http://www.238311.cn:538/x1243y.php?id=now-sports-premier-league4
Now Sports 英超5,http://www.238311.cn:538/x1243y.php?id=now-sports-premier-league5
Now Sports 英超6,http://www.238311.cn:538/x1243y.php?id=now-sports-premier-league6
Now beIN SPORTS 1,http://www.238311.cn:538/x1243y.php?id=now-bein-sports1
Now beIN SPORTS 2,http://www.238311.cn:538/x1243y.php?id=now-bein-sports2
Now beIN SPORTS 3,http://www.238311.cn:538/x1243y.php?id=now-bein-sports3
Now 668,http://www.238311.cn:538/x1243y.php?id=now-668
Now Golf 2,http://www.238311.cn:538/x1243y.php?id=now-golf2
Now Golf 3,http://www.238311.cn:538/x1243y.php?id=now-golf3
民视,http://www.238311.cn:538/x1243y.php?id=ftv
民视,mitv://135.148.104.228:19806/7b046996e7d5417eb4a619194072bbc0 
民视台湾台,http://www.238311.cn:538/x1243y.php?id=ftv-tw
民视台湾台,mitv://135.148.104.228:19806/192bd12842624eb39e2f6b86eeacdca8 
民视第一台,http://www.238311.cn:538/x1243y.php?id=ftv-one
民视第一台,mitv://135.148.104.228:19806/b97979cec8d74feebc370f3470cc06c6 
纬来日本,http://www.238311.cn:538/x1243y.php?id=videoland-japan
纬来日本,mitv://135.148.104.228:19806/5f9d37ba1fc04a04aaec6979908294a2 
纬来综合,http://www.238311.cn:538/x1243y.php?id=videoland
八大综合,http://www.238311.cn:538/x1243y.php?id=gtv28
八大第一,http://www.238311.cn:538/x1243y.php?id=gtv27
TVBS 精采台,http://www.238311.cn:538/x1243y.php?id=tvbs-jc
TVBS 欢乐台,http://www.238311.cn:538/x1243y.php?id=tvbs-huanle
TVBS Asia,http://www.238311.cn:538/x1243y.php?id=tvbs-asia
三立台湾台,http://www.238311.cn:538/x1243y.php?id=settv-taiwan
三立台湾台,mitv://135.148.104.228:19806/ff12e8f29f9b4f61a9b766709aa498f6 
三立综合台,http://www.238311.cn:538/x1243y.php?id=settv-zonghe
三立综合台,mitv://135.148.104.228:19806/792a7263dd7b4c7484512d07f3c21083 
台视,http://www.238311.cn:538/x1243y.php?id=ttv
