大陆央视,#genre#
Astro AOD 311 粤语,https://histar.zapi.us.kg/?id=astro-aod-311-hk
Astro QJ,https://histar.zapi.us.kg/?id=astro-quanjia
Astro Awani,https://histar.zapi.us.kg/?id=astro-awani
Astro Arena HD,https://histar.zapi.us.kg/?id=astro-arena-hd
Astro Arena 2,https://histar.zapi.us.kg/?id=astro-arena2
Astro Citra,https://histar.zapi.us.kg/?id=astro-citra
Astro Prima,https://histar.zapi.us.kg/?id=astro-prima
Astro Aura,https://histar.zapi.us.kg/?id=astro-aura
Astro RIA,https://histar.zapi.us.kg/?id=astro-ria
Astro ONE,https://histar.zapi.us.kg/?id=astro-one
AstroPremier,https://histar.zapi.us.kg/?id=astropremier
Astro Ceria,https://histar.zapi.us.kg/?id=astro-ceria
Astro Vaanavil,https://histar.zapi.us.kg/?id=astro-vaanavil
Astro Vinmeen,https://histar.zapi.us.kg/?id=astro-vinmeen
Astro Warna,https://histar.zapi.us.kg/?id=astro-warna
Astro Vellithirai,https://histar.zapi.us.kg/?id=astro-vellithirai
Astro Rania,https://histar.zapi.us.kg/?id=astro-rania
Astro Oasis,https://histar.zapi.us.kg/?id=astro-oasis
Astro TUTOR TV,https://histar.zapi.us.kg/?id=astro-tutor-tv
Astro GolfChannel,https://histar.zapi.us.kg/?id=astro-golfchannel
体育竞技,#genre#
beIN Sports,https://histar.zapi.us.kg/?id=beinsports
beIN Sports 2,https://histar.zapi.us.kg/?id=beinsports2
beIN Sports 3,https://histar.zapi.us.kg/?id=beinsports3
ELTA 体育-1,https://histar.zapi.us.kg/?id=elta-sport1
ELTA 体育-2,https://histar.zapi.us.kg/?id=elta-sport2
ELTA 体育-3,https://histar.zapi.us.kg/?id=elta-sport3
ELTA体育4台,https://histar.zapi.us.kg/?id=elta-sport4
博斯网球,https://histar.zapi.us.kg/?id=sportcast-tennis
博斯运动-1,https://histar.zapi.us.kg/?id=sportcast1
博斯运动-2,https://histar.zapi.us.kg/?id=sportcast2
博斯无限,https://histar.zapi.us.kg/?id=sportcast-wx
博斯高球-1,https://histar.zapi.us.kg/?id=sportcast-golf1
博斯高球-2,https://histar.zapi.us.kg/?id=sportcast-golf2
博斯魅力,https://histar.zapi.us.kg/?id=sportcast-meili
ESPN,https://histar.zapi.us.kg/?id=espn
ESPN 2,https://histar.zapi.us.kg/?id=espn2
ESPN 3,https://histar.zapi.us.kg/?id=espn3
ESPN 4,https://histar.zapi.us.kg/?id=espn4
myTV SUPER直播足球1台,https://histar.zapi.us.kg/?id=mytv-super-soccer1
myTV SUPER直播足球2台,https://histar.zapi.us.kg/?id=mytv-super-soccer2
myTV SUPER直播足球3台,https://histar.zapi.us.kg/?id=mytv-super-soccer3
