央视频道,#genre#
CCTV13,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/cqyx/45daae6748439234y24ghe432sa12g41.flv/cctv13?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV14,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/cqyx/45daae6748439234y24ghe432sa12g41.flv/cctv14?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV15,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/cqyx/45daae6748439234y24ghe432sa12g41.flv/cctv15?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV16,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/cqyx/45daae6748439234y24ghe432sa12g41.flv/cctv16?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV17,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/cqyx/45daae6748439234y24ghe432sa12g41.flv/cctv17?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV5+,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/cqyx/45daae6748439234y24ghe432sa12g41.flv/cctv5p?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV1,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv1?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV1,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/99?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV2,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv2?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV2,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/140?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV3,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv3?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV3,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/104?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV4,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv4?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV4,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/1?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV5,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv5?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV5,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/105?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV6,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv6?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV6,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/llss/45daae6748439234y24ghe432sa12g41.flv/91?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
CCTV7,https://cndd.baidu.cdn.v.ether-mine.com:8443/live/mgak/45daae6748439234y24ghe432sa12g41.flv/cctv7?key=eyJ0b2tlbiI6IldhcVJGNlptV1U2UjB3N2FXYVNqOVgzc1doUXR4NGlFIiwidXNlciI6IjVmMTIxYmY5ODRhY2U0MWVmMzNjNmM0MDk1YzY3ZTcxIiwibWFjIjoiMmM6MGI6MDY6MTk6ZGM6ZjUiLCJhbmRyb2lkaWQiOiJkYzQ1MzhhNGY5ZmMzNTk1In0=
